Date,Open,High,Low,Close,Volume
2016-05-02,76.89,77.0,75.94,76.61,7701672
2016-05-03,75.96,76.27,75.42,75.91,7985643
2016-05-04,75.64,75.91,75.01,75.82,14260002
2016-05-05,79.52,79.94,78.1,78.83,27890851
2016-05-06,78.35,79.72,78.25,79.2,12618505
2016-05-09,78.94,79.98,78.89,79.41,11774316
2016-05-10,79.79,79.98,79.15,79.72,9295506
2016-05-11,79.43,80.48,79.41,79.8,10967620
2016-05-12,80.01,80.45,78.32,79.16,8764926
2016-05-13,78.82,79.16,76.97,77.16,10045937
2016-05-16,77.86,79.93,77.59,79.29,11629584
2016-05-17,79.83,80.2,79.31,79.35,10957569
2016-05-18,78.71,80.0,78.47,79.03,9055306
2016-05-19,78.65,79.26,77.6,78.32,8303038
2016-05-20,79.07,79.45,78.35,78.79,10982573
2016-05-23,78.95,79.5,78.6,79.0,7156483
2016-05-24,79.17,81.31,79.07,81.12,16660273
2016-05-25,78.53,79.2,74.12,75.59,49558730
2016-05-26,76.99,78.86,76.8,78.35,26916442
2016-05-27,78.49,81.0,78.39,80.97,24529547
2016-05-31,81.0,82.03,80.2,82.0,78861383
2016-06-01,79.15,80.14,76.55,76.69,62531511
2016-06-02,76.65,77.75,76.56,77.3,45379470
2016-06-03,77.24,77.8,75.71,76.62,23685736
2016-06-06,77.11,78.33,76.7,78.06,19166096
2016-06-07,78.19,78.37,77.32,77.84,12877981
2016-06-08,78.0,78.53,77.38,77.64,11614055
2016-06-09,77.39,78.07,76.78,77.56,8994449
2016-06-10,76.43,77.05,75.76,75.92,10421059
2016-06-13,75.25,76.46,74.85,75.45,11300757
2016-06-14,76.89,78.45,76.75,77.77,22358857
2016-06-15,78.31,78.77,77.51,78.39,14734824
2016-06-16,77.84,78.4,76.2,78.27,13570656
2016-06-17,78.45,78.45,76.48,77.0,15582575
2016-06-20,77.9,78.79,77.84,78.15,9625641
2016-06-21,78.75,79.08,78.4,78.62,8881825
2016-06-22,79.04,79.12,78.21,78.73,8170856
2016-06-23,79.16,79.46,78.55,79.14,8279464
2016-06-24,76.83,77.5,75.43,76.29,18224791
2016-06-27,75.8,76.29,73.3,74.23,15251773
2016-06-28,75.5,76.6,75.5,76.28,11266195
2016-06-29,76.98,78.48,76.9,78.04,11459983
2016-06-30,78.31,79.76,78.28,79.53,12485338
2016-07-01,79.12,80.05,79.12,79.65,7271279
2016-07-05,79.04,79.55,78.37,78.97,6845232
2016-07-06,78.47,78.82,77.68,78.64,7737637
2016-07-07,79.0,79.49,78.71,79.35,6819170
2016-07-08,78.44,79.35,77.8,78.99,14029075
2016-07-11,79.33,81.9,79.24,81.46,17417457
2016-07-12,81.79,82.88,81.51,81.74,15294115
2016-07-13,81.83,81.88,80.37,80.57,10739182
2016-07-14,81.18,82.24,80.86,81.74,9361454
2016-07-15,81.78,82.49,80.96,81.25,8919868
2016-07-18,80.6,82.79,80.6,82.65,12113575
2016-07-19,82.48,83.69,82.05,82.77,9799375
2016-07-20,83.27,84.7,83.23,84.42,13990957
2016-07-21,84.71,85.0,83.66,84.18,10192080
2016-07-22,84.0,84.5,83.81,84.49,5988370
2016-07-25,84.47,84.79,82.61,83.19,13185912
2016-07-26,82.86,83.63,82.63,83.59,7714661
2016-07-27,83.6,83.64,83.0,83.1,11628979
2016-07-28,83.46,83.49,82.12,83.12,7476531
2016-07-29,83.37,83.42,81.94,82.48,8709279
2016-08-01,82.79,84.8,82.59,84.34,13401193
2016-08-02,84.34,84.34,82.91,83.8,7691627
2016-08-03,83.3,83.84,83.17,83.67,5365813
2016-08-04,83.75,84.98,83.69,84.75,10731563
2016-08-05,85.01,85.08,84.44,84.59,9401657
2016-08-08,84.99,85.02,84.3,85.0,11528244
2016-08-09,85.05,85.63,84.8,85.24,15349237
2016-08-10,86.01,87.73,86.01,87.33,28195881
2016-08-11,92.14,92.8,91.26,91.77,54169169
2016-08-12,92.98,98.35,92.91,98.25,71968347
2016-08-15,98.28,98.86,96.82,97.17,33813431
2016-08-16,96.15,97.15,95.05,96.66,27513961
2016-08-17,96.17,97.25,96.05,97.0,14980944
2016-08-18,97.25,97.94,96.62,97.0,15009049
2016-08-19,96.91,97.24,96.34,96.86,14267089
2016-08-22,96.47,96.63,94.75,95.65,16222875
2016-08-23,95.59,96.48,95.41,95.79,9646830
2016-08-24,95.68,96.3,93.56,93.88,12726565
2016-08-25,93.75,94.69,93.12,93.94,13039874
2016-08-26,94.15,95.45,94.08,95.06,14133920
2016-08-29,94.6,95.16,94.21,94.88,8818346
2016-08-30,95.35,96.68,95.17,96.0,13994246
2016-08-31,96.14,97.2,96.01,97.19,28617010
2016-09-01,97.3,98.0,97.01,97.42,13387366
2016-09-02,97.97,99.66,97.97,99.25,17482617
2016-09-06,100.45,104.3,100.45,103.78,32803767
2016-09-07,103.84,104.0,102.26,102.32,15758762
2016-09-08,101.93,103.78,101.63,102.57,15475494
2016-09-09,101.8,102.21,99.05,99.62,21250414
2016-09-12,97.38,101.38,97.0,100.8,17318186
2016-09-13,100.38,101.49,98.84,100.28,20004920
2016-09-14,100.08,102.59,100.02,102.4,19604724
2016-09-15,102.62,104.48,102.53,104.45,20841027
2016-09-16,104.0,105.39,103.86,104.64,20363471
2016-09-19,105.16,105.5,102.2,103.03,15234574
2016-09-20,102.94,103.73,100.93,101.45,12863809
2016-09-21,102.46,106.19,102.21,106.0,22997062
2016-09-22,107.57,109.76,107.48,109.36,35627728
2016-09-23,108.25,108.4,106.71,107.71,23082976
2016-09-26,106.52,107.06,105.3,105.89,16805335
2016-09-27,106.52,108.49,106.37,108.26,17556710
2016-09-28,108.44,109.87,107.16,108.75,16371600
2016-09-29,106.51,106.69,104.57,105.55,30236671
2016-09-30,106.5,107.1,105.79,105.79,15577503
2016-10-03,105.45,106.29,104.98,105.38,10849473
2016-10-04,105.93,106.23,105.05,105.45,11068841
2016-10-05,105.87,107.45,105.66,106.96,13176546
2016-10-06,107.3,107.51,106.18,107.08,9885558
2016-10-07,106.89,107.55,105.56,106.0,8954371
2016-10-10,106.79,109.0,106.56,108.41,11516628
2016-10-11,107.89,107.97,104.75,105.23,14916564
2016-10-12,105.05,105.11,101.82,103.62,18434983
2016-10-13,102.06,102.55,99.0,102.15,22389979
2016-10-14,104.27,104.7,101.03,101.85,12789498
2016-10-17,101.5,103.47,101.27,102.84,10351713
2016-10-18,104.47,104.99,103.31,103.34,11107198
2016-10-19,104.33,104.8,103.65,103.93,8918931
2016-10-20,104.2,104.74,103.57,103.85,7109782
2016-10-21,103.7,103.94,102.75,103.94,8073095
2016-10-24,104.98,105.3,103.55,104.5,10898833
2016-10-25,104.86,105.2,104.02,104.22,8985668
2016-10-26,103.68,104.0,102.7,102.78,7579847
2016-10-27,103.38,104.11,101.85,102.38,8807090
2016-10-28,102.35,103.05,101.55,101.93,8479491
2016-10-31,102.65,103.21,101.42,101.69,15837901
2016-11-01,100.43,101.24,99.21,101.15,21287287
2016-11-02,103.85,104.1,97.3,98.51,37066972
2016-11-03,98.04,99.3,96.46,97.75,17412642
2016-11-04,96.9,98.79,96.67,97.57,9048524
2016-11-07,100.07,100.62,99.16,99.35,11198343
2016-11-08,99.39,99.99,98.36,99.85,8091111
