Date,Open,High,Low,Close,Volume
2015-05-01,17.9,18.14,17.56,17.56,5143304
2015-05-04,17.58,18.16,17.58,18.12,3266192
2015-05-05,18.09,18.48,17.83,17.88,2769433
2015-05-06,17.95,18.13,17.42,17.99,5426319
2015-05-07,17.99,18.6,17.88,18.49,3776546
2015-05-08,18.64,18.87,18.19,18.21,3569145
2015-05-11,18.26,18.56,18.14,18.17,3163934
2015-05-12,18.24,18.74,17.97,18.46,4392139
2015-05-13,18.47,18.9,18.28,18.89,4106834
2015-05-14,18.86,18.99,18.5,18.81,3220200
2015-05-15,18.7,18.7,17.94,18.31,5677772
2015-05-18,18.25,18.36,17.95,18.31,3685343
2015-05-19,18.45,18.65,18.07,18.14,2761673
2015-05-20,18.08,18.16,17.59,17.88,4089203
2015-05-21,17.92,18.54,17.92,18.48,2851536
2015-05-22,18.42,18.55,18.07,18.33,3532686
2015-05-26,18.24,18.45,18.12,18.35,2945365
2015-05-27,18.21,18.8,18.12,18.79,2707092
2015-05-28,18.68,19.2,18.53,19.02,4299549
2015-05-29,18.85,18.95,18.59,18.67,3273814
2015-06-01,18.7,18.83,18.14,18.42,4492292
2015-06-02,18.33,18.64,18.19,18.35,3336387
2015-06-03,18.36,18.87,18.33,18.58,3131520
2015-06-04,18.45,18.57,18.07,18.08,2906759
2015-06-05,18.13,18.52,18.06,18.39,3173540
2015-06-08,18.3,18.47,17.59,17.69,4985667
2015-06-09,17.58,17.58,16.33,17.15,10431669
2015-06-10,17.27,17.55,17.1,17.3,4319316
2015-06-11,17.28,17.34,16.97,17.15,2739489
2015-06-12,17.1,17.38,17.03,17.21,2627993
2015-06-15,17.06,17.1,16.75,16.86,2629393
2015-06-16,16.81,16.86,16.5,16.56,3318634
2015-06-17,16.66,16.75,16.44,16.65,4480565
2015-06-18,16.68,17.13,16.43,16.89,4084826
2015-06-19,16.89,17.26,16.84,16.93,3826922
2015-06-22,16.97,17.02,16.62,16.75,2450779
2015-06-23,16.75,16.85,16.38,16.6,5725098
2015-06-24,16.56,16.74,16.28,16.34,4300771
2015-06-25,16.4,16.65,16.29,16.36,4742701
2015-06-26,16.34,16.38,15.9,15.99,5442723
2015-06-29,15.84,15.85,15.45,15.54,3690227
2015-06-30,15.86,15.86,15.42,15.54,3169668
2015-07-01,15.67,15.78,15.3,15.34,3320944
2015-07-02,15.3,15.39,15.0,15.17,4901883
2015-07-06,15.03,15.16,14.86,15.06,3485446
2015-07-07,15.03,15.09,14.51,14.96,5367469
2015-07-08,14.77,14.94,14.56,14.68,3894135
2015-07-09,15.01,15.55,14.96,15.11,5184766
2015-07-10,15.29,15.32,14.9,15.05,2670328
2015-07-13,15.14,15.47,15.09,15.28,2735561
2015-07-14,15.25,15.55,15.16,15.25,2513898
2015-07-15,15.2,15.21,13.86,14.0,10017094
2015-07-16,14.09,14.34,14.0,14.15,3777517
2015-07-17,14.18,14.26,13.91,13.96,2673783
2015-07-20,13.95,14.01,13.3,13.81,4054646
2015-07-21,13.8,14.18,13.77,14.04,3348367
2015-07-22,14.0,14.07,13.79,13.87,2734640
2015-07-23,13.9,14.16,13.79,13.88,7237993
2015-07-24,15.49,16.47,15.16,15.96,21579398
2015-07-27,15.88,16.17,15.37,15.97,7763872
2015-07-28,16.01,16.98,15.94,16.83,8101679
2015-07-29,16.76,17.38,16.58,17.01,9298020
2015-07-30,16.95,17.1,16.78,16.91,5540460
2015-07-31,16.92,17.72,16.91,17.52,7003197
2015-08-03,17.51,17.55,17.09,17.2,5221517
2015-08-04,17.2,17.91,17.09,17.78,5110515
2015-08-05,17.97,18.56,17.78,17.81,7372936
2015-08-06,17.79,17.99,17.5,17.69,5611340
2015-08-07,17.65,18.12,17.62,17.95,4341460
2015-08-10,18.15,18.88,18.07,18.75,4776002
2015-08-11,18.47,19.0,18.23,18.52,4508729
2015-08-12,18.24,19.62,17.95,19.38,7894735
2015-08-13,19.38,19.49,18.51,18.57,6586289
2015-08-14,18.55,18.86,18.36,18.64,3039149
2015-08-17,18.46,19.34,18.42,19.19,3898703
2015-08-18,19.09,19.22,18.88,18.89,3072504
2015-08-19,18.81,19.22,18.73,18.93,2998800
2015-08-20,18.85,18.96,18.1,18.1,3308932
2015-08-21,17.89,18.24,17.62,17.85,3830273
2015-08-24,16.61,17.99,16.1,17.13,6275643
2015-08-25,17.82,17.91,17.06,17.09,3936750
2015-08-26,17.46,17.72,16.84,17.64,4504581
2015-08-27,17.9,18.34,16.89,17.49,7521254
2015-08-28,17.43,18.48,17.4,18.1,6290201
2015-08-31,18.05,18.32,17.76,17.94,2672787
2015-09-01,17.56,18.06,17.31,17.46,3934864
2015-09-02,17.66,17.95,17.12,17.3,3992672
2015-09-03,17.39,18.23,17.27,18.13,4979083
2015-09-04,17.89,18.36,17.79,17.99,2874764
2015-09-08,18.33,18.7,18.18,18.61,3881368
2015-09-09,18.8,18.88,18.43,18.46,3230228
2015-09-10,18.56,18.77,18.34,18.51,1965047
2015-09-11,18.46,18.68,18.25,18.59,2801777
2015-09-14,18.59,19.06,18.34,18.57,4500960
2015-09-15,18.69,18.86,18.53,18.74,3127125
2015-09-16,18.79,19.24,18.58,19.17,3301800
2015-09-17,19.1,19.68,19.04,19.44,2791036
2015-09-18,19.07,19.72,19.07,19.7,4960809
2015-09-21,19.7,22.6,19.13,20.83,25209670
2015-09-22,20.6,21.03,19.81,20.93,8865912
2015-09-23,20.93,21.0,20.55,20.75,3616891
2015-09-24,20.71,21.01,20.26,20.86,8399450
2015-09-25,21.03,21.16,20.67,20.86,4160569
2015-09-28,20.78,20.96,20.24,20.41,4122878
2015-09-29,20.65,21.8,20.43,20.99,8041302
2015-09-30,21.14,21.5,20.74,21.34,4468145
2015-10-01,21.32,21.49,20.49,20.72,5901836
2015-10-02,20.22,21.58,20.0,21.53,5415198
2015-10-05,21.78,22.05,21.54,21.8,4569315
2015-10-06,21.77,22.2,21.66,21.98,6882497
2015-10-07,21.15,21.37,20.41,20.98,9657242
2015-10-08,20.89,20.9,19.52,19.53,8572213
2015-10-09,19.73,20.94,19.5,20.9,6194811
2015-10-12,20.94,20.96,20.11,20.21,3761007
2015-10-13,20.26,20.64,19.87,20.33,3239497
2015-10-14,20.38,20.46,19.81,19.9,4536996
2015-10-15,20.03,20.49,18.89,19.53,7176246
2015-10-16,19.64,19.93,19.43,19.91,3024203
2015-10-19,19.82,20.55,19.67,20.11,4027562
2015-10-20,20.05,20.16,19.28,19.33,3415125
2015-10-21,19.29,19.49,18.96,19.26,4995837
2015-10-22,19.26,19.59,19.0,19.19,7399798
2015-10-23,12.98,13.38,11.5,12.39,62875875
2015-10-26,12.66,13.84,12.63,13.03,18303923
2015-10-27,12.91,12.98,12.2,12.21,7893905
2015-10-28,12.26,12.5,11.99,12.47,8062966
2015-10-29,12.46,12.52,11.96,11.97,6209538
2015-10-30,12.05,12.16,11.38,11.51,10033278
2015-11-02,11.57,12.31,11.54,12.18,7569965
2015-11-03,12.15,12.33,12.07,12.19,4190626
2015-11-04,12.14,12.34,11.75,11.78,6933386
2015-11-05,12.3,13.2,12.21,12.45,12731549
2015-11-06,12.4,12.74,12.24,12.7,4717085
2015-11-09,12.58,12.7,12.14,12.51,4507843
2015-11-10,12.48,13.15,12.28,13.03,6454147
2015-11-11,13.03,13.98,12.97,13.46,10555696
2015-11-12,13.33,13.78,13.14,13.4,8499575
2015-11-13,13.33,13.6,13.09,13.44,5158335
2015-11-16,13.39,13.62,13.12,13.42,3423495
2015-11-17,13.39,13.48,12.34,12.46,7618348
2015-11-18,12.47,12.75,12.23,12.65,3913598
2015-11-19,12.56,12.93,12.51,12.81,3914176
2015-11-20,12.82,13.17,12.78,12.99,3093992
2015-11-23,12.95,13.14,12.69,12.93,2538924
2015-11-24,12.84,13.37,12.84,13.22,4246673
2015-11-25,13.69,13.99,13.49,13.82,6268402
2015-11-27,13.81,13.82,13.56,13.73,1832417
2015-11-30,13.75,13.92,13.61,13.8,3686797
2015-12-01,13.82,14.46,13.68,14.32,5056237
2015-12-02,14.33,14.6,14.08,14.27,4517881
2015-12-03,13.9,13.92,12.6,12.63,18690207
2015-12-04,12.22,12.46,11.84,12.25,19663776
